iata,longitude,latitude,iso,name,continent,type,size,timezone,icao,city,country,city,country
MDK,18.28861,0.0225,CD,Mbandaka,AF,airport,medium,1,FZEA,Mbandaka,Congo (Kinshasa),Mbandaka,Kongo (Kinshasa)
BDT,22.45,4.083333,CD,Gbadolite,AF,airport,medium,1,FZFD,Gbadolite,Congo (Kinshasa),Gbadolite,Kongo (Kinshasa)
GMA,19.77111,3.235278,CD,Gemena,AF,airport,medium,1,FZFK,Gemena,Congo (Kinshasa),Gemena,Kongo (Kinshasa)
LIQ,21.496668,2.170556,CD,Lisala,AF,airport,medium,1,FZGA,Lisala,Congo (Kinshasa),Lisala,Kongo (Kinshasa)
FKI,25.338057,0.481667,CD,Kisangani Simisini,AF,airport,medium,2,FZIA,Kisangani,Congo (Kinshasa),Kisangani,Kongo (Kinshasa)
IRP,27.588333,2.8275,CD,Matari,AF,airport,medium,2,FZJH,Isiro,Congo (Kinshasa),Isiro,Kongo (Kinshasa)
BUX,30.220833,1.565833,CD,Bunia,AF,airport,medium,2,FZKA,Bunia,Congo (Kinshasa),Bunia,Kongo (Kinshasa)
BKY,28.808804,-2.308978,CD,Bukavu Kavumu,AF,airport,medium,2,FZMA,Bukavu/kavumu,Congo (Kinshasa),Bukavu / Kavumu,Kongo (Kinshasa)
GOM,29.23835,-1.669921,CD,Goma,AF,airport,medium,2,FZNA,Goma,Congo (Kinshasa),Goma,Kongo (Kinshasa)
KND,25.915277,-2.919167,CD,Kindu,AF,airport,medium,2,FZOA,Kindu,Congo (Kinshasa),Kindu,Kongo (Kinshasa)
FBM,27.529167,-11.590833,CD,Lubumbashi Intl,AF,airport,medium,2,FZQA,Lubumashi,Congo (Kinshasa),Lubumashi,Kongo (Kinshasa)
KWZ,25.506945,-10.766667,CD,Kolwezi,AF,airport,medium,2,FZQM,Kolwezi,Congo (Kinshasa),Kolwezi,Kongo (Kinshasa)
FMI,29.25,-5.875556,CD,Kalemie,AF,airport,medium,2,FZRF,Kalemie,Congo (Kinshasa),Kalemie,Kongo (Kinshasa)
KMN,25.25,-8.641111,CD,Kamina Base,AF,airport,medium,2,FZSA,Kamina Base,Congo (Kinshasa),Kamina Base-,Kongo (Kinshasa)
KGA,22.469168,-5.922,CD,Kananga,AF,airport,medium,2,FZUA,Kananga,Congo (Kinshasa),Kananga,Kongo (Kinshasa)
MJM,23.633333,-6.15,CD,Mbuji Mayi,AF,airport,medium,2,FZWA,Mbuji-mayi,Congo (Kinshasa),Mbuji-Mayi,Kongo (Kinshasa)
BKO,-7.947951,12.540926,ML,Senou,AF,airport,medium,0,GABS,Bamako,Mali,Bamako,Mali
GAQ,-0.001389,16.248611,ML,Gao,AF,airport,medium,0,GAGO,Gao,Mali,Gao,Mali
KYS,-11.439444,14.431944,ML,Kayes Dag Dag,AF,airport,medium,0,GAKY,Kayes,Mali,Kayes,Mali
MZI,-4.085,14.508333,ML,Ambodedjo,AF,airport,medium,0,GAMB,Mopti,Mali,Mopti,Mali
TOM,-3.005278,16.732222,ML,Tombouctou,AF,airport,medium,0,GATB,Tombouctou,Mali,Tombouctou,Mali
BJL,-16.6522,13.34406,GM,Banjul Intl,AF,airport,medium,0,GBYD,Banjul,Gambia,Banjul,Gambia
FUE,-13.869893,28.450605,ES,Fuerteventura,EU,airport,medium,0,GCFV,Fuerteventura,Spain,Fuerteventura,Spanien
VDE,-17.884937,27.813969,ES,Hierro,EU,airport,medium,0,GCHI,Hierro,Spain,Hierro,Spanien
SPC,-17.755556,28.626389,ES,La Palma,EU,airport,medium,0,GCLA,Santa Cruz De La Palma,Spain,Santa Cruz De La Palma,Spanien
LPA,-15.389351,27.938944,ES,Gran Canaria,EU,airport,large,0,GCLP,Gran Canaria,Spain,Gran Canaria,Spanien
ACE,-13.609059,28.950668,ES,Lanzarote,EU,airport,medium,0,GCRR,Las Palmas,Spain,Las Palmas,Spanien
TFS,-16.5725,28.044443,ES,Tenerife Sur,EU,airport,large,0,GCTS,Tenerife,Spain,Teneriffa,Spanien
TFN,-16.345982,28.488056,ES,Tenerife Norte,EU,airport,large,0,GCXO,Tenerife,Spain,Teneriffa,Spanien
MLN,-2.957473,35.277077,ES,Melilla,EU,airport,medium,0,GEML,Melilla,Spain,Melilla,Spanien
FNA,-13.196944,8.6175,SL,Freetown Lungi,AF,airport,medium,0,GFLL,Freetown,Sierra Leone,Freetown,Sierra Leone
MLW,-10.758333,6.289444,LR,Monrovia Spriggs Payne,AF,airport,medium,0,GLMR,Monrovia,Liberia,Monrovia,Liberia
ROB,-10.358889,6.239722,LR,Monrovia Roberts Intl,AF,airport,medium,0,GLRB,Monrovia,Liberia,Monrovia,Liberia
AGA,-9.4131,30.325,MA,Inezgane,AF,airport,medium,0,GMAA,Agadir,Morocco,Agadir,Marokko
TTA,-11.083333,28.45,MA,Plage Blanche,AF,airport,medium,0,GMAT,Tan Tan,Morocco,Tan Tan,Marokko
FEZ,-4.982138,33.93079,MA,Saiss,AF,airport,medium,0,GMFF,Fes,Morocco,Fes,Marokko
ERH,-4.4,31.95,MA,Moulay Ali Cherif,AF,airport,medium,0,GMFK,Er-rachidia,Morocco,Er-Rachidia,Marokko
MEK,-5.533333,33.88333,MA,Bassatine,AF,airport,medium,0,GMFM,Meknes,Morocco,Meknes,Marokko
OUD,-1.933333,34.783333,MA,Angads,AF,airport,medium,1,GMFO,Oujda,Morocco,Oujda,Marokko
RBA,-6.748619,34.036137,MA,Sale,AF,airport,medium,0,GMME,Rabat,Morocco,Rabat,Marokko
CMN,-7.586667,33.36667,MA,Mohammed V Intl,AF,airport,large,0,GMMN,Casablanca,Morocco,Casablanca,Marokko
RAK,-8.026902,31.601875,MA,Menara,AF,airport,medium,0,GMMX,Marrakech,Morocco,Marrakesch,Marokko
NNA,-6.666667,34.266666,MA,Kenitra,AF,airport,medium,0,GMMY,Kentira,Morocco,Kentira,Marokko
OZZ,-6.916667,30.916668,MA,Ouarzazate,AF,airport,medium,0,GMMZ,Ouarzazate,Morocco,Ouarzazate,Marokko
AHU,-3.836944,35.17972,MA,Cherif El Idrissi,AF,airport,medium,0,GMTA,Al Hociema,Morocco,Al Hociema,Marokko
TTU,-5.316667,35.583332,MA,Saniat Rmel,AF,airport,medium,0,GMTN,Tetouan,Morocco,Tetouan,Marokko
TNG,-5.912898,35.726288,MA,Ibn Batouta,AF,airport,medium,0,GMTT,Tanger,Morocco,Tanger,Marokko
ZIG,-16.275833,12.556111,SN,Ziguinchor,AF,airport,medium,0,GOGG,Ziguinchor,Senegal,Ziguinchor,Senegal
CSK,-16.744122,12.392154,SN,Cap Skiring,AF,airport,medium,0,GOGS,Cap Skiring,Senegal,Cap Skiring,Senegal
KLC,-16.5,14.083333,SN,Kaolack,AF,airport,medium,0,GOOK,Kaolack,Senegal,Kaolack,Senegal
DKR,-17.490194,14.744975,SN,Leopold Sedar Senghor Intl,AF,airport,large,0,GOOY,Dakar,Senegal,Dakar,Senegal
XLS,-16.460278,16.050278,SN,Saint Louis,AF,airport,medium,0,GOSS,St. Louis,Senegal,St. Louis,Senegal
BXE,-12.467778,14.841667,SN,Bakel,AF,airport,medium,0,GOTB,Bakel,Senegal,Bakel,Senegal
KGG,-12.217222,12.570833,SN,Kedougou,AF,airport,medium,0,GOTK,Kedougou,Senegal,Kedougou,Senegal
TUD,-13.658333,13.736111,SN,Tambacounda,AF,airport,medium,0,GOTT,Tambacounda,Senegal,Tambacounda,Senegal
TIY,-11.416667,18.566668,MR,Tidjikja,AF,airport,small,0,GQND,Tidjikja,Mauritania,Tidjikja,Mauretanien
KFA,-11.405278,16.588888,MR,Kiffa,AF,airport,small,0,GQNF,Kiffa,Mauritania,Kiffa,Mauretanien
EMN,-7.283333,16.6,MR,Nema,AF,airport,small,0,GQNI,Nema,Mauritania,Nema,Mauretanien
KED,-13.507778,16.161388,MR,Kaedi,AF,airport,small,0,GQNK,Kaedi,Mauritania,Kaedi,Mauretanien
NKC,-15.952041,18.098148,MR,Nouakchott,AF,airport,medium,0,GQNN,Nouakschott,Mauritania,Nouakschott,Mauretanien
SEY,-12.206111,15.182222,MR,Selibady,AF,airport,small,0,GQNS,Selibabi,Mauritania,Selibabi,Mauretanien
ATR,-13.046389,20.499443,MR,Atar,AF,airport,medium,0,GQPA,Atar,Mauritania,Atar,Mauretanien
NDB,-17.028334,20.934168,MR,Nouadhibou,AF,airport,medium,0,GQPP,Nouadhibou,Mauritania,Nouadhibou,Mauretanien
FIG,-13.566667,10.35,GN,Fria,AF,airport,medium,0,GUFA,Fira,Guinea,Fira,Guinea
FAA,-10.75,10.033333,GN,Faranah,AF,airport,medium,0,GUFH,Faranah,Guinea,Faranah,Guinea
LEK,-12.297222,11.333333,GN,Labe,AF,airport,medium,0,GULB,Labe,Guinea,Labe,Guinea
SID,-22.943613,16.734695,CV,Amilcar Cabral Intl,AF,airport,medium,-1,GVAC,Amilcar Cabral,Cape Verde,Amilcar Cabral,Kap Verde
BVC,-22.833332,16.083332,CV,Rabil,AF,airport,medium,-1,GVBA,Boa Vista,Cape Verde,Boa Vista,Kap Verde
MMO,-23.166668,15.25,CV,Maio,AF,airport,medium,-1,GVMA,Maio,Cape Verde,Maio,Kap Verde
SNE,-24.28861,16.586945,CV,Preguica,AF,airport,medium,-1,GVSN,Sao Nocolau Island,Cape Verde,Sao Nocolau Insel,Kap Verde
VXE,-25.057571,16.835613,CV,Sao Pedro,AF,airport,medium,-1,GVSV,Sao Vicente Island,Cape Verde,Insel Sao Vicente,Kap Verde
ADD,38.7959,8.983759,ET,Bole Intl,AF,airport,medium,3,HAAB,Addis Ababa,Ethiopia,Addis Abeba,Äthiopien
AMH,37.576942,6.036111,ET,Arba Minch,AF,airport,medium,3,HAAM,Arba Minch,Ethiopia,Arba Minch,Äthiopien
AXU,38.716667,14.120833,ET,Axum,AF,airport,medium,3,HAAX,Axum,Ethiopia,Axum,Äthiopien
BJR,37.32324,11.603292,ET,Bahir Dar,AF,airport,medium,3,HABD,Bahar Dar,Ethiopia,Bahar Dar,Äthiopien
DIR,41.857994,9.61338,ET,Dire Dawa Intl,AF,airport,medium,3,HADR,Dire Dawa,Ethiopia,Dire Dawa,Äthiopien
GMB,34.583332,8.283333,ET,Gambella,AF,airport,medium,3,HAGM,Gambella,Ethiopia,Gambella,Äthiopien
GDQ,37.445557,12.514444,ET,Gondar,AF,airport,medium,3,HAGN,Gondar,Ethiopia,Gondar,Äthiopien
JIM,36.82111,7.654444,ET,Jimma,AF,airport,medium,3,HAJM,Jimma,Ethiopia,Jimma,Äthiopien
LLI,39.066666,12.016667,ET,Lalibella,AF,airport,small,3,HALL,Lalibella,Ethiopia,Lalibella,Äthiopien
MQX,39.52639,13.468333,ET,Makale,AF,airport,medium,3,HAMK,Makale,Ethiopia,Makale,Äthiopien
ASO,34.536667,10.047222,ET,Asosa,AF,airport,medium,3,HASO,Asosa,Ethiopia,Asosa,Äthiopien
BJM,29.366667,-3.383333,BI,Bujumbura Intl,AF,airport,medium,2,HBBA,Bujumbura,Burundi,Bujumbura,Burundi
HGA,44.091667,9.515833,SO,Egal Intl,AF,airport,medium,3,HCMH,Hargeisa,Somalia,Hargeisa,Somalia
BBO,45.00639,10.419444,SO,Berbera,AF,airport,medium,3,HCMI,Berbera,Somalia,Berbera,Somalia
KMU,42.461792,-0.377185,SO,Kisimayu,AF,airport,medium,3,HCMK,Kismayu,Somalia,Kismayo,Somalia
ALY,29.953058,31.192545,EG,Alexandria Intl,AF,airport,medium,2,HEAX,Alexandria,Egypt,Alexandria,Ägypten
ABS,31.609774,22.367567,EG,Abu Simbel,AF,airport,medium,2,HEBL,Abu Simbel,Egypt,Abu Simbel,Ägypten
CAI,31.40647,30.120106,EG,Cairo Intl,AF,airport,large,2,HECA,Cairo,Egypt,Kairo,Ägypten
HRG,33.8055,27.189156,EG,Hurghada Intl,AF,airport,large,2,HEGN,Hurghada,Egypt,Hurghada,Ägypten
LXR,32.699684,25.67492,EG,Luxor Intl,AF,airport,medium,2,HELX,Luxor,Egypt,Luxor,Ägypten
MUH,27.25,31.35,EG,Mersa Matruh,AF,airport,medium,2,HEMM,Mersa-matruh,Egypt,Mersa Matruh-,Ägypten
PSD,32.3,31.266666,EG,Port Said,AF,airport,medium,2,HEPS,Port Said,Egypt,Port Said,Ägypten
SKV,34.0625,28.685278,EG,St Catherine Intl,AS,airport,medium,2,HESC,St. Catherine,Egypt,St. Katharina,Ägypten
ASW,32.824818,23.968021,EG,Aswan Intl,AF,airport,medium,2,HESN,Aswan,Egypt,Assuan,Ägypten
ELT,33.63333,28.216667,EG,El Tor,AS,airport,small,2,HETR,El-tor,Egypt,El-tor,Ägypten
EDL,35.2236,0.4054,KE,Eldoret Intl,AF,airport,medium,3,HKEL,Eldoret,Kenya,Eldoret,Kenia
KIS,34.7375,-0.084946,KE,Kisumu,AF,airport,medium,3,HKKI,Kisumu,Kenya,Kisumu,Kenia
KTL,34.959248,0.974111,KE,Kitale,AF,airport,medium,3,HKKT,Kitale,Kenya,Kitale,Kenia
LOK,35.6,3.15,KE,Lodwar,AF,airport,medium,3,HKLO,Lodwar,Kenya,Lodwar,Kenia
LAU,40.911667,-2.25,KE,Lamu Manda,AF,airport,medium,3,HKLU,Lamu,Kenya,Lamu,Kenia
MBA,39.60325,-4.0327,KE,Mombasa Moi Intl,AF,airport,large,3,HKMO,Mombasa,Kenya,Mombasa,Kenia
WIL,36.813248,-1.318018,KE,Nairobi Wilson,AF,airport,medium,3,HKNW,Nairobi,Kenya,Nairobi,Kenia
WJR,40.6,1.766667,KE,Wajir,AF,airport,medium,3,HKWJ,Wajir,Kenya,Wajir,Kenia
GHT,10.166667,24.966667,LY,Ghat,AF,airport,medium,1,HLGT,Ghat,Libya,Ghat,Libyen
AKF,23.333332,24.2,LY,Kufra,AF,airport,medium,1,HLKF,Kufra,Libya,Kufra,Libyen
BEN,20.26489,32.085423,LY,Benina,AF,airport,medium,1,HLLB,Benghazi,Libya,Benghazi,Libyen
SEB,14.4625,27.016666,LY,Sebha,AF,airport,medium,1,HLLS,Sebha,Libya,Sebha,Libyen
TIP,13.144279,32.66989,LY,Tripoli Intl,AF,airport,large,1,HLLT,Tripoli,Libya,Tripoli,Libyen
LTD,9.509722,30.129168,LY,Ghadames East,AF,airport,medium,1,HLTD,Ghadames,Libya,Ghadames,Libyen
GYI,29.25,-1.683333,RW,Gisenyi,AF,airport,medium,2,HRYG,Gisenyi,Rwanda,Gisenyi,Ruanda
KGL,30.135014,-1.963042,RW,Kigali Intl,AF,airport,medium,2,HRYR,Kigali,Rwanda,Kigali,Ruanda
KME,28.916668,-2.466667,RW,Kamembe,AF,airport,medium,2,HRZA,Kamembe,Rwanda,Kamembe,Ruanda
DOG,30.45,19.183332,SD,Dongola,AF,airport,medium,2,HSDN,Dongola,Sudan,Dongola,Sudan
ELF,25.316668,13.616667,SD,El Fashir,AF,airport,medium,2,HSFS,El Fasher,Sudan,El Fasher,Sudan
KSL,36.34222,15.390278,SD,Kassala,AF,airport,medium,2,HSKA,Kassala,Sudan,Kassala,Sudan
EBD,30.234167,13.159722,SD,El Obeid,AF,airport,medium,2,HSOB,El Obeid,Sudan,El Obeid,Sudan
JUB,31.601692,4.866198,SS,Juba,AF,airport,medium,2,HSSJ,Juba,South Sudan,Juba,Süd-Sudan
MAK,31.644444,9.555556,SS,Malakal,AF,airport,medium,2,HSSM,Malakal,Sudan,Malakal,Sudan
KRT,32.549698,15.592217,SD,Khartoum,AF,airport,large,2,HSSS,Khartoum,Sudan,Khartoum,Sudan
ARK,36.683334,-3.366667,TZ,Arusha,AF,airport,medium,3,HTAR,Arusha,Tanzania,Arusha,Tansania
DAR,39.20211,-6.873533,TZ,Mwalimu Julius K Nyerere Intl,AF,airport,medium,3,HTDA,Dar Es Salaam,Tanzania,Dar Es Salaam,Tansania
DOD,35.75028,-6.166667,TZ,Dodoma,AF,airport,medium,3,HTDO,Dodoma,Tanzania,Dodoma,Tansania
IRI,35.75028,-7.670556,TZ,Iringa,AF,airport,medium,3,HTIR,Iringa,Tanzania,Iringa,Tansania
JRO,37.065342,-3.424123,TZ,Kilimanjaro Intl,AF,airport,medium,3,HTKJ,Kilimanjaro,Tanzania,Kilimanjaro,Tansania
LKY,35.82021,-3.375889,TZ,Lake Manyara,AF,airport,medium,3,HTLM,Lake Manyara,Tanzania,Lake Manyara,Tansania
MYW,40.19361,-10.338889,TZ,Mtwara,AF,airport,medium,2,HTMT,Mtwara,Tanzania,Mtwara,Tansania
MWZ,32.923225,-2.441221,TZ,Mwanza,AF,airport,medium,3,HTMW,Mwanza,Tanzania,Mwanza,Tansania
PMA,39.81262,-5.258731,TZ,Pemba,AF,airport,medium,3,HTPE,Pemba,Tanzania,Pemba,Tansania
TGT,39.07028,-5.089444,TZ,Tanga,AF,airport,medium,3,HTTG,Tanga,Tanzania,Tanga,Tansania
ZNZ,39.221184,-6.218466,TZ,Zanzibar,AF,airport,medium,3,HTZA,Zanzibar,Tanzania,Sansibar,Tansania
EBB,32.443184,0.045111,UG,Entebbe Intl,AF,airport,medium,3,HUEN,Entebbe,Uganda,Entebbe,Uganda
SRT,33.61667,1.7,UG,Soroti,AF,airport,medium,3,HUSO,Soroti,Uganda,Soroti,Uganda
TIA,19.71328,41.419132,AL,Tirana Rinas,EU,airport,large,1,LATI,Tirana,Albania,Tirana,Albanien
BOJ,27.515545,42.56745,BG,Burgas,EU,airport,large,2,LBBG,Bourgas,Bulgaria,Bourgas,Bulgarien
GOZ,25.666668,43.11667,BG,Gorna Oryahovitsa,EU,airport,medium,2,LBGO,Gorna Orechovica,Bulgaria,Gorna Orechovica,Bulgarien
PDV,24.716667,42.3,BG,Plovdiv,EU,airport,large,2,LBPD,Plovdiv,Bulgaria,Plovdiv,Bulgarien
SOF,23.41443,42.688343,BG,Sofia,EU,airport,large,2,LBSF,Sofia,Bulgaria,Sofia,Bulgarien
VAR,27.829096,43.23726,BG,Varna,EU,airport,large,2,LBWN,Varna,Bulgaria,Varna,Bulgarien
LCA,33.62599,34.880867,CY,Larnaca,AS,airport,large,2,LCLK,Larnaca,Cyprus,Larnaca,Zypern
PFO,32.489105,34.71155,CY,Pafos Intl,AS,airport,large,2,LCPH,Paphos,Cyprus,Paphos,Zypern
AKT,32.983334,34.583332,CY,Akrotiri,AS,airport,medium,2,LCRA,Akrotiri,Cyprus,Akrotiri,Zypern
DBV,18.260616,42.56072,HR,Dubrovnik,EU,airport,medium,1,LDDU,Dubrovnik,Croatia,Dubrovnik,Kroatien
OSI,18.683332,45.55,HR,Osijek,EU,airport,medium,1,LDOS,Osijek,Croatia,Osijek,Kroatien
PUY,13.923611,44.891666,HR,Pula,EU,airport,medium,1,LDPL,Pula,Croatia,Pula,Kroatien
RJK,14.568333,45.21583,HR,Rijeka,EU,airport,medium,1,LDRI,Rijeka,Croatia,Rijeka,Kroatien
SPU,16.29946,43.536526,HR,Split,EU,airport,medium,1,LDSP,Split,Croatia,Teilt,Kroatien
ZAG,16.06152,45.733242,HR,Zagreb,EU,airport,large,1,LDZA,Zagreb,Croatia,Zagreb,Kroatien
ZAD,15.356667,44.09778,HR,Zadar,EU,airport,medium,1,LDZD,Zadar,Croatia,Zadar,Kroatien
ALC,-0.557381,38.287098,ES,Alicante,EU,airport,large,1,LEAL,Alicante,Spain,Alicante,Spanien
LEI,-2.371873,36.847984,ES,Almeria,EU,airport,medium,1,LEAM,Almeria,Spain,Almeria,Spanien
OVD,-6.032094,43.55891,ES,Asturias,EU,airport,medium,1,LEAS,Aviles,Spain,Aviles,Spanien
ODB,-4.847222,37.84111,ES,Cordoba,EU,airport,medium,1,LEBA,Cordoba,Spain,Cordoba,Spanien
BIO,-2.905808,43.305534,ES,Bilbao,EU,airport,medium,1,LEBB,Bilbao,Spain,Bilbao,Spanien
BCN,2.07593,41.30303,ES,Barcelona,EU,airport,large,1,LEBL,Barcelona,Spain,Barcelona,Spanien
BJZ,-6.82,38.891666,ES,Talavera La Real,EU,airport,medium,1,LEBZ,Badajoz,Spain,Badajoz,Spanien
LCG,-8.381923,43.30236,ES,A Coruna,EU,airport,medium,1,LECO,La Coruna,Spain,La Coruna,Spanien
GRO,2.766383,41.89804,ES,Girona,EU,airport,medium,1,LEGE,Gerona,Spain,Gerona,Spanien
GRX,-3.776954,37.184727,ES,Granada,EU,airport,medium,1,LEGR,Granada,Spain,Granada,Spanien
IBZ,1.367803,38.876595,ES,Ibiza,EU,airport,medium,1,LEIB,Ibiza,Spain,Ibiza,Spanien
XRY,-6.064535,36.750614,ES,Jerez,EU,airport,medium,1,LEJR,Jerez,Spain,Jerez,Spanien
MJV,-0.81904,37.77521,ES,Murcia San Javier,EU,airport,medium,1,LELC,Murcia,Spain,Murcia,Spanien
PKH,23.147223,37.301388,GR,Alexion,EU,airport,small,2,LGHL,Porto Heli,Greece,Porto Heli,Griechenland
MAD,-3.570209,40.46515,ES,Barajas,EU,airport,large,1,LEMD,Madrid,Spain,Madrid,Spanien
AGP,-4.489616,36.675182,ES,Malaga,EU,airport,large,1,LEMG,Malaga,Spain,Malaga,Spanien
MAH,4.226256,39.864746,ES,Menorca,EU,airport,medium,1,LEMH,Menorca,Spain,Menorca,Spanien
OZP,-5.759444,37.24917,ES,Moron Ab,EU,airport,medium,1,LEMO,Sevilla,Spain,Sevilla,Spanien
PNA,-1.639347,42.767498,ES,Pamplona,EU,airport,medium,1,LEPP,Pamplona,Spain,Pamplona,Spanien
REU,1.153319,41.146103,ES,Reus,EU,airport,medium,1,LERS,Reus,Spain,Reus,Spanien
SLM,-5.501944,40.951942,ES,Salamanca,EU,airport,medium,1,LESA,Salamanca,Spain,Salamanca,Spanien
EAS,-1.793538,43.3564,ES,San Sebastian,EU,airport,medium,1,LESO,San Sebastian,Spain,San Sebastian,Spanien
SCQ,-8.420327,42.897316,ES,Santiago,EU,airport,large,1,LEST,Santiago,Spain,Santiago,Spanien
LEU,1.466667,42.416668,ES,Seo De Urgel,EU,airport,small,1,LESU,Seo De Urgel,Spain,Seo De Urgel,Spanien
TOJ,-3.546667,40.455555,ES,Torrejon,EU,airport,medium,1,LETO,Madrid,Spain,Madrid,Spanien
VLC,-0.473475,39.49179,ES,Valencia,EU,airport,medium,1,LEVC,Valencia,Spain,Valencia,Spanien
VLL,-4.844626,41.70581,ES,Valladolid,EU,airport,medium,1,LEVD,Valladolid,Spain,Valladolid,Spanien
VIT,-2.5,42.833332,ES,Vitoria,EU,airport,medium,1,LEVT,Vitoria,Spain,Vitoria,Spanien
VGO,-8.634025,42.224552,ES,Vigo,EU,airport,medium,1,LEVX,Vigo,Spain,Vigo,Spanien
SDR,-3.824453,43.423084,ES,Santander,EU,airport,medium,1,LEXJ,Santander,Spain,Santander,Spanien
ZAZ,-1.007466,41.66386,ES,Zaragoza Ab,EU,airport,medium,1,LEZG,Zaragoza,Spain,Zaragoza,Spanien
SVQ,-5.900136,37.423477,ES,Sevilla,EU,airport,medium,1,LEZL,Sevilla,Spain,Sevilla,Spanien
CQF,1.933333,50.95,FR,Calais Dunkerque,EU,airport,medium,1,LFAC,Calais,France,Calais,Frankreich
LTQ,1.627071,50.514774,FR,Le Touquet Paris Plage,EU,airport,medium,1,LFAT,Le Tourquet,France,Le Touquet,Frankreich
AGF,0.598611,44.17361,FR,La Garenne,EU,airport,medium,1,LFBA,Agen,France,Agen,Frankreich
BOD,-0.70217,44.83102,FR,Merignac,EU,airport,large,1,LFBD,Bordeaux,France,Bordeaux,Frankreich
EGC,0.483333,44.85,FR,Roumaniere,EU,airport,medium,1,LFBE,Bergerac,France,Bergerac,Frankreich
CNG,-0.333333,45.683334,FR,Chateaubernard,EU,airport,medium,1,LFBG,Cognac,France,Cognac,Frankreich
PIS,0.306389,46.58611,FR,Biard,EU,airport,medium,1,LFBI,Poitiers,France,Poitiers,Frankreich
LIG,1.176245,45.86218,FR,Bellegarde,EU,airport,medium,1,LFBL,Limoges,France,Limoges,Frankreich
NIT,-0.45,46.316666,FR,Souche,EU,airport,medium,1,LFBN,Niort,France,Niort,Frankreich
TLS,1.374321,43.63007,FR,Blagnac,EU,airport,large,1,LFBO,Toulouse,France,Toulouse,Frankreich
PUF,-0.413573,43.382347,FR,Pau Pyrenees,EU,airport,medium,1,LFBP,Pau,France,Pau,Frankreich
LDE,0.003368,43.18651,FR,Lourdes,EU,airport,medium,1,LFBT,Tarbes,France,Tarbes,Frankreich
ANG,0.216667,45.733334,FR,Brie Champniers,EU,airport,medium,1,LFBU,Angouleme,France,Angouleme,Frankreich
BVE,1.533333,45.166668,FR,La Roche,EU,airport,large,1,LFBV,Brive,France,Brive,Frankreich
PGX,0.716667,45.183334,FR,Bassillac,EU,airport,medium,1,LFBX,Perigueux,France,Perigueux,Frankreich
BIQ,-1.531242,43.472416,FR,Anglet,EU,airport,medium,1,LFBZ,Biarritz-bayonne,France,Biarritz-Bayonne,Frankreich
XAC,,,FR,La Teste De Buch,EU,airport,medium,1,LFCH,Arcachon,France,Arcachon,Frankreich
LBI,2.15,43.933334,FR,Le Sequestre,EU,airport,medium,1,LFCI,Albi,France,Albi,Frankreich
DCM,2.284167,43.555832,FR,Mazamet,EU,airport,medium,1,LFCK,Castres,France,Castres,Frankreich
RDZ,2.483866,44.410595,FR,Marcillac,EU,airport,medium,1,LFCR,Rodez,France,Rodez,Frankreich
RYN,-1.016667,45.61667,FR,Medis,EU,airport,medium,1,LFCY,Royan,France,Royan,Frankreich
RCO,-0.980556,45.890556,FR,St Agnant,EU,airport,medium,1,LFDN,Rochefort,France,Rochefort,Frankreich
CMR,7.366667,48.083332,FR,Houssen,EU,airport,medium,1,LFGA,Colmar,France,Colmar,Frankreich
DLE,5.428719,47.038254,FR,Tavaux,EU,airport,medium,1,LFGJ,Dole,France,Stütze,Frankreich
OBS,4.7,44.666668,FR,Ardeche Meridionale,EU,airport,medium,1,LFHO,Aubenas-vals-lanas,France,Aubenas-vals-lanas,Frankreich
LPY,3.766667,45.083332,FR,Loudes,EU,airport,medium,1,LFHP,Le Puy,France,Le Puy,Frankreich
ETZ,6.243003,48.98165,FR,Metz Nancy Lorraine,EU,airport,medium,1,LFJL,Metz,France,Metz,Frankreich
BIA,9.480124,42.547615,FR,Poretta,EU,airport,medium,1,LFKB,Bastia,France,Bastia,Frankreich
CLY,8.791667,42.52778,FR,Saint Catherine,EU,airport,medium,1,LFKC,Calvi,France,Calvi,Frankreich
FSC,9.098223,41.498634,FR,Sud Corse,EU,airport,medium,1,LFKF,Figari,France,Figari,Frankreich
AJA,8.794013,41.91987,FR,Campo Dell Oro,EU,airport,medium,1,LFKJ,Ajaccio,France,Ajaccio,Frankreich
SOZ,9.383333,41.88333,FR,Solenzara,EU,airport,medium,1,LFKS,Solenzara,France,Solenzara,Frankreich
AUF,3.5,47.85,FR,Branches,EU,airport,medium,1,LFLA,Auxerre,France,Auxerre,Frankreich
CMF,5.88437,45.637993,FR,Aix Les Bains,EU,airport,medium,1,LFLB,Chambery,France,Chambery,Frankreich
CFE,3.163893,45.78032,FR,Auvergne,EU,airport,medium,1,LFLC,Clermont-Ferrand,France,Clermont-Ferrand,Frankreich
BOU,2.416667,47.15,FR,Bourges,EU,airport,medium,1,LFLD,Bourges,France,Bourges,Frankreich
QNJ,,,FR,Annemasse,EU,airport,medium,1,LFLI,Annemasse,France,Annemasse,Frankreich
LYS,5.080334,45.721424,FR,Saint Exupery,EU,airport,medium,1,LFLL,Lyon,France,Lyon,Frankreich
QNX,,,FR,Charnay,EU,airport,medium,1,LFLM,Macon,France,Macon,Frankreich
RNE,4.000833,46.053333,FR,Renaison,EU,airport,medium,1,LFLO,Roanne,France,Roanne,Frankreich
